NR-AR,NR-AR-LBD,NR-AhR,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-gamma,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,mol_id,smiles,smiles_std,scaffold,split,smiles_for_qm,xtb_gap_eV,xtb_Etot_Ha
0,0,0,,0,0,,0,0,0,,0,TOX24000,CSc1ccc2c(c1)C(N1CCN(C)CC1)Cc1ccccc1S2,CSc1ccc2c(c1)C(N1CCN(C)CC1)Cc1ccccc1S2,c1ccc2c(c1)CC(N1CCNCC1)c1ccccc1S2,train,CSc1ccc2c(c1)C(N1CCN(C)CC1)Cc1ccccc1S2,2.158859428,-67.37691746
0,0,0,,0,0,,,0,0,,0,TOX24002,COCCCC/C(=N\OCCN)c1ccc(C(F)(F)F)cc1,COCCCC/C(=N\OCCN)c1ccc(C(F)(F)F)cc1,c1ccccc1,train,COCCCC/C(=N\OCCN)c1ccc(C(F)(F)F)cc1,2.401063176,-70.92741359
0,0,0,0,0,0,0,0,0,0,0,0,TOX27071,Cc1ccccc1CCO,Cc1ccccc1CCO,c1ccccc1,train,Cc1ccccc1CCO,4.423167799,-29.43672396
0,0,0,0,0,0,0,0,0,0,0,0,TOX27070,Cc1nc(C)c(C)nc1C,Cc1nc(C)c(C)nc1C,c1cnccn1,train,Cc1nc(C)c(C)nc1C,2.296677012,-29.09870933
0,0,0,0,0,0,0,0,0,0,0,0,TOX27072,CC1=CC(O)CC(C)(C)C1,CC1=CC(O)CC(C)(C)C1,C1=CCCCC1,train,CC1=CC(O)CC(C)(C)C1,4.722131669,-31.48930975
0,0,0,0,0,0,0,0,0,0,0,0,TOX27075,Cc1cnc(C)c(C)n1,Cc1cnc(C)c(C)n1,c1cnccn1,train,Cc1cnc(C)c(C)n1,2.214235846,-25.92549813
0,0,0,0,,0,0,0,0,0,0,0,TOX27074,CC(C)COC(=O)c1ccccc1,CC(C)COC(=O)c1ccccc1,c1ccccc1,train,CC(C)COC(=O)c1ccccc1,3.420579315,-38.81665013
0,0,0,0,,0,0,0,0,0,0,0,TOX27078,C=C(C)[C@@H]1CC=C(C)CC1,C=C(C)[C@@H]1CC=C(C)CC1,C1=CCCCC1,train,C=C(C)[C@@H]1CC=C(C)CC1,4.583373634,-29.53513094
0,0,0,0,0,0,0,0,0,0,0,0,TOX19719,O=[N+]([O-])[O-].O=[N+]([O-])[O-].[Ca+2],O=[N+]([O-])[O-],,valid,O=[N+]([O-])[O-],3.452329092,-14.84692049
0,0,1,0,,0,0,1,0,0,1,,TOX957,Nc1ccc(N)c([N+](=O)[O-])c1,Nc1ccc(N)c([N+](=O)[O-])c1,c1ccccc1,train,Nc1ccc(N)c([N+](=O)[O-])c1,1.094428674,-33.17317569
0,0,1,,0,0,0,0,0,0,,0,TOX24915,CC1COc2ccccc2N1,CC1COc2ccccc2N1,c1ccc2c(c1)NCCO2,train,CC1COc2ccccc2N1,3.621497039,-31.86534086
0,0,0,0,0,0,0,0,0,0,,0,TOX24914,O=C(O)c1cc(Cl)cc(Cl)c1O,O=C(O)c1cc(Cl)cc(Cl)c1O,c1ccccc1,train,O=C(O)c1cc(Cl)cc(Cl)c1O,2.839162143,-38.31631852
0,,0,,,,,,0,,,,TOX24913,CCCCCCCCCCCC(=O)NCCCN(C)C,CCCCCCCCCCCC(=O)NCCCN(C)C,,valid,CCCCCCCCCCCC(=O)NCCCN(C)C,3.599477796,-64.68667608
0,0,0,0,0,0,0,0,0,0,0,0,TOX24911,CC(C)CCCCCOC(=O)CCS,CC(C)CCCCCOC(=O)CCS,,valid,CC(C)CCCCCOC(=O)CCS,3.078714148,-46.15423893
0,0,0,0,0,0,0,0,0,0,0,0,TOX956,O=[N+]([O-])c1cc([As](=O)(O)O)ccc1O,O=[N+]([O-])c1cc([As](=O)(O)O)ccc1O,c1ccccc1,train,O=[N+]([O-])c1cc([As](=O)(O)O)ccc1O,1.900769609,-45.4275079
0,0,0,0,0,0,0,0,0,0,0,1,TOX24919,CCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS,CCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS,,valid,CCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS,2.805369555,-79.50394457
0,0,1,0,0,0,0,0,0,0,,0,TOX24918,C=CCOc1c(Br)cc(Br)cc1Br,C=CCOc1c(Br)cc(Br)cc1Br,c1ccccc1,train,C=CCOc1c(Br)cc(Br)cc1Br,3.407839185,-39.10205204
0,0,0,0,0,0,0,,0,0,0,0,TOX9739,F[B-](F)(F)F.[H+],F[B-](F)(F)F,,valid,F[B-](F)(F)F,17.952316240776,-20.19964651
0,0,0,0,0,0,0,0,0,0,0,0,TOX9733,CC(C)[C@H]1CC[C@H](C)C[C@@H]1O,CC(C)[C@H]1CC[C@H](C)C[C@@H]1O,C1CCCCC1,train,CC(C)[C@H]1CC[C@H](C)C[C@@H]1O,11.051067621824,-35.69322191
0,0,1,,1,0,0,1,0,0,,0,TOX6050,C(=C/c1ccccc1)\c1ccccc1,C(=C/c1ccccc1)\c1ccccc1,C(=Cc1ccccc1)c1ccccc1,train,C(=C/c1ccccc1)\c1ccccc1,2.983669162,-36.04373068
0,0,,,,0,0,0,0,0,,0,TOX5649,Cc1ccc2c(ccc3ccccc32)c1,Cc1ccc2c(ccc3ccccc32)c1,c1ccc2c(c1)ccc1ccccc12,train,Cc1ccc2c(ccc3ccccc32)c1,2.906189202,-38.23677325
0,0,0,0,0,0,0,0,0,0,0,0,TOX2968,Cn1c(=O)c2c(ncn2CC2OCCO2)n(C)c1=O,Cn1c(=O)c2c(ncn2CC2OCCO2)n(C)c1=O,O=c1[nH]c(=O)c2c(ncn2CC2OCCO2)[nH]1,train,Cn1c(=O)c2c(ncn2CC2OCCO2)n(C)c1=O,3.30129237,-58.73268759
0,0,0,0,1,1,0,,0,0,0,1,TOX2967,C[C@H]1O[C@@H](n2cc(F)c(=O)[nH]c2=O)[C@H](O)[C@@H]1O,C[C@H]1O[C@@H](n2cc(F)c(=O)[nH]c2=O)[C@H](O)[C@@H]1O,O=c1ccn(C2CCCO2)c(=O)[nH]1,train,C[C@H]1O[C@@H](n2cc(F)c(=O)[nH]c2=O)[C@H](O)[C@@H]1O,3.030025527,-55.80514792
0,0,1,,,0,0,1,0,,,0,TOX2614,CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3,CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3,c1ccc2c(c1)CC1NCCc3cccc-2c31,train,CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3,2.608213102,-56.13080246
0,0,0,0,0,0,0,0,0,0,0,0,TOX2617,COC(=O)C1=CCCN(C)C1,COC(=O)C1=CCCN(C)C1,C1=CCNCC1,test,COC(=O)C1=CCCN(C)C1,2.228869282,-34.79568591
,,,,,,,0,,0,,,TOX2611,COc1ccc(C2C(=O)c3ccccc3C2=O)cc1,COc1ccc(C2C(=O)c3ccccc3C2=O)cc1,O=C1c2ccccc2C(=O)C1c1ccccc1,valid,COc1ccc(C2C(=O)c3ccccc3C2=O)cc1,1.5605497,-52.53641808
0,0,0,0,0,0,0,0,0,0,0,0,TOX5642,Cc1ccc(C(=O)O)cc1[N+](=O)[O-],Cc1ccc(C(=O)O)cc1[N+](=O)[O-],c1ccccc1,train,Cc1ccc(C(=O)O)cc1[N+](=O)[O-],2.313999228,-39.75565544
0,0,0,0,0,0,0,0,0,0,0,0,TOX5641,Cc1cc(C(=O)O)ccc1[N+](=O)[O-],Cc1cc(C(=O)O)ccc1[N+](=O)[O-],c1ccccc1,train,Cc1cc(C(=O)O)ccc1[N+](=O)[O-],2.232007675,-39.75486558
0,0,0,0,0,0,0,,0,,0,0,TOX2612,CCCC(CCC)C(=O)O[C@@H]1C[C@@H]2CC[C@H](C1)[N+]2(C)C,CCCC(CCC)C(=O)O[C@H]1C[C@H]2CC[C@@H](C1)[N+]2(C)C,C1CC2CCC(C1)[NH2+]2,train,CCCC(CCC)C(=O)O[C@H]1C[C@H]2CC[C@@H](C1)[N+]2(C)C,0.099675325,-63.63953099
0,0,0,0,0,0,0,0,0,0,0,0,TOX27158,CCCCCC(C)O,CCCCCC(C)O,,valid,CCCCCC(C)O,11.653910280849,-27.20908283
0,0,0,0,0,0,0,0,0,0,,0,TOX1708,O=C([O-])c1ccccc1O,O=C([O-])c1ccccc1O,c1ccccc1,train,O=C([O-])c1ccccc1O,3.324066775,-29.61442507
0,0,0,0,0,0,0,0,0,0,0,0,TOX1709,NC(=O)c1ccccc1,NC(=O)c1ccccc1,c1ccccc1,train,NC(=O)c1ccccc1,3.350982641,-25.51816699
,,,,,,,0,,0,,,TOX25756,CCN1CCc2nc(N)oc2CC1,CCN1CCc2nc(N)oc2CC1,c1nc2c(o1)CCNCC2,train,CCN1CCc2nc(N)oc2CC1,4.105902889,-39.75900351
0,0,0,,,0,0,,0,,,0,TOX25757,CC(C)(C)[C@]1(O)CCN2C[C@H]3c4ccccc4CCc4cccc(c43)[C@@H]2C1,CC(C)(C)[C@]1(O)CCN2C[C@H]3c4ccccc4CCc4cccc(c43)[C@@H]2C1,c1ccc2c(c1)CCc1cccc3c1C2CN1CCCCC31,train,CC(C)(C)[C@]1(O)CCN2C[C@H]3c4ccccc4CCc4cccc(c43)[C@@H]2C1,2.962065444,-76.35768287
0,0,0,0,0,0,0,0,0,0,0,0,TOX9559,O=C1C(N(CO)C(=O)NCO)N(CO)C(=O)N1CO,O=C(NCO)N(CO)c1c(O)n(CO)c(=O)n1CO,O=c1[nH]cc[nH]1,train,O=C(NCO)N(CO)c1c(O)n(CO)c(=O)n1CO,3.453616259,-64.43581147
,0,0,0,0,0,0,,0,,0,0,TOX25755,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1/C=C/Br,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1/C=C/Br,O=c1ccn(C2CCCO2)c(=O)[nH]1,train,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1/C=C/Br,2.617224072,-60.44525503
0,0,0,0,0,0,,0,0,0,,0,TOX25752,OCCN1CCN(CCCN2c3ccccc3C=Cc3ccccc32)CC1,OCCN1CCN(CCCN2c3ccccc3C=Cc3ccccc32)CC1,C1=Cc2ccccc2N(CCCN2CCNCC2)c2ccccc21,train,OCCN1CCN(CCCN2c3ccccc3C=Cc3ccccc32)CC1,1.930318753,-76.84364347
0,0,0,0,0,0,0,0,0,0,0,0,TOX25753,CC(C)NC[C@@H](O)COc1ccc(CC(N)=O)cc1,CC(C)NC[C@@H](O)COc1ccc(CC(N)=O)cc1,c1ccccc1,train,CC(C)NC[C@@H](O)COc1ccc(CC(N)=O)cc1,3.088864985,-59.21476116
